@id,@lon,@lat,name,name:mk,name:en
464772764,22.3213986,42.1956200,Bolnica Primarius D-r. Dimitar Arsov,,
478041008,22.0143343,41.4334419,Asklepij,,
479803481,21.3825263,42.0064220,Eye Center VIZIA,,
497549513,22.8514500,41.7085000,Амбуланта,,Health centre
552740011,21.4252136,42.0374713,,,
568024520,20.6795882,41.1815650,SANITA,,
568024688,20.6791796,41.1810946,City hospital,,
774784615,21.0073455,41.0899619,Здравствен дом Ресен,Здравствен дом Ресен,
1088079165,22.3340659,41.8845005,,,
1092272137,21.3388850,42.0080827,,,
1092272145,21.3381661,42.0077080,,,
1092272150,21.3394643,42.0087603,,,
1092300445,21.3467492,42.0481616,,,
1092300531,21.3460247,42.0449386,,,
1272903523,22.5100370,41.8872494,Bolnica Vinica,,
1359271238,21.4235159,41.9955891,,,
1381604857,21.4420010,41.9703449,Болница за зависности,,
1381606894,21.4346369,41.9869370,Адриалаб,,
1400953433,21.4034030,42.0136387,,,
1400953447,21.4053411,42.0136569,,,
1629789674,21.7756540,41.7161641,,,
1652685364,21.4348208,41.9869077,,,
1652685365,21.4347725,41.9869818,,,
1652685367,21.4349449,41.9869525,,,
1652685372,21.4348966,41.9870266,,,
1655990864,21.3165443,41.0217189,,,
1655990865,21.3156377,41.0213167,,,
1655990866,21.3168723,41.0212980,,,
1655990867,21.3159657,41.0208958,,,
1712596980,21.7749455,41.7140153,,,
1712596986,21.7756488,41.7160670,,,
1712596992,21.7762800,41.7165959,,,
1712597001,21.7764374,41.7154105,,,
1712597006,21.7764759,41.7155776,,,
1712597053,21.7764812,41.7167069,,,
1712597067,21.7766005,41.7137247,,,
1712597069,21.7752247,41.7136063,,,
1712597084,21.7754056,41.7153547,,,
1726094579,21.7078016,42.1363948,,,
1726094580,21.7075227,42.1381469,,,
1726094581,21.7099930,42.1361839,,,
1726094582,21.7069299,42.1373016,,,
1726094583,21.7084574,42.1363597,,,
1726094584,21.7110122,42.1369575,,,
1726094585,21.7074100,42.1380117,,,
1726094586,21.7079974,42.1361859,,,
1726094587,21.7083582,42.1360991,,,
1726094588,21.7100440,42.1375682,,,
1726094589,21.7075361,42.1366512,,,
1726094590,21.7106032,42.1372945,,,
1726094591,21.7094244,42.1358935,,,
1726094592,21.7103350,42.1363935,,,
1726094593,21.7097382,42.1360447,,,
1726094594,21.7083823,42.1364313,,,
1726094595,21.7072196,42.1369854,,,
1726094596,21.7072706,42.1378506,,,
1726094597,21.7083703,42.1381549,,,
1726094598,21.7080256,42.1362523,,,
1726094599,21.7082040,42.1359930,,,
1726094600,21.7081946,42.1360156,,,
1726094601,21.7089469,42.1379620,,,
1726094602,21.7079864,42.1362287,,,
1726094603,21.7095934,42.1377511,,,
1726094604,21.7107977,42.1371286,,,
1726094605,21.7107145,42.1366015,,,
1726094606,21.7091749,42.1357901,,,
1726094607,21.7082348,42.1362363,,,
1726094608,21.7088262,42.1356807,,,
1726094609,21.7085768,42.1356270,,,
1726094610,21.7076809,42.1383757,,,
1726094611,21.7111464,42.1368521,,,
1726094612,21.7103229,42.1374349,,,
1726094613,21.7083515,42.1358538,,,
1726094798,21.7084118,42.1360613,,,
1726094799,21.7088920,42.1365029,,,
1726094801,21.7091548,42.1364293,,,
1726094803,21.7089081,42.1366839,,,
1726094813,21.7083046,42.1361747,,,
1726094817,21.7087900,42.1366143,,,
1726094824,21.7090073,42.1363935,,,
1726094825,21.7090422,42.1363617,,,
1735492316,21.7167789,42.1351138,,,
1735492317,21.7170123,42.1350860,,,
1735492323,21.7165778,42.1351059,,,
1735492325,21.7165563,42.1352451,,,
1735492328,21.7165295,42.1352471,,,
1735492331,21.7170069,42.1350283,,,
1735492334,21.7173673,42.1354000,,,
1735492337,21.7165036,42.1353642,,,
1735492340,21.7165465,42.1354815,,,
1735492343,21.7173207,42.1349965,,,
1735492346,21.7172885,42.1349547,,,
1735492349,21.7172061,42.1353685,,,
1735492354,21.7171947,42.1350383,,,
1735492355,21.7170874,42.1350223,,,
1735492356,21.7168567,42.1351079,,,
1735492358,21.7172224,42.1354298,,,
1735492360,21.7172832,42.1351815,,,
1747627317,21.4331367,41.9860650,,,
1758468903,21.4235348,41.9957907,,,
